No,words,transliteration,chinese,example sentence
1,bill,/bɪl/,n. 账单；法案 v. 开账单,please pay the bill before you leave.
2,charge,/tʃɑːdʒ/,n. 费用；负责 v. 收费；充电,there is no extra charge for breakfast. 
3,return,/rɪˈtɜːn/,v. 返回；归还 n. 返回,you can return the item within 7 days. 你可7天内退货。
4,trust,/trʌst/,v./n. 信任；信赖,i trust you completely. 我完全信任你。
5,storage,/ˈstɔːrɪdʒ/,n. 储存；仓库,we need more storage space. 我们需要更多存储空间。
6,acknowledge,/əkˈnɒlɪdʒ/,v. 承认；致谢；告知收到,he refused to acknowledge his mistake. 他拒绝承认错误。
7,to some extent,/tu səm ɪkˈstent/,在某种程度上,i agree with you to some extent. 我在某种程度上同意你。
8,integrate,/ˈɪntɪɡreɪt/,v. 整合；使融入,we should integrate the two systems. 我们应整合这两个系统。
9,protest,/ˈprəʊtest/,n./v. 抗议；反对,they held a protest against the policy. 他们举行抗议反对该政策。
10,individual,/ˌɪndɪˈvɪdʒuəl/,adj. 个人的 n. 个人,each individual has his own duty. 每个人都有自己的职责。
11,penalty,/ˈpenəlti/,n. 处罚；罚款,there is a penalty for late payment. 逾期付款有罚款。
12,grant,/ɡrɑːnt/,v. 授予；同意 n. 补助金,they granted him permission to leave. 他们准许他离开。
13,paperwork,/ˈpeɪpəwɜːk/,n. 文书工作；书面资料,i have a lot of paperwork to finish. 我有很多文书要完成。
14,defeat,/dɪˈfiːt/,v. 击败；战胜 n. 失败,they defeated their opponents easily. 他们轻松击败对手。
15,counterpart,/ˈkaʊntəpɑːt/,n. 对应的人/物；同行,our sales director met his french counterpart. 我们销售总监会见了法国同行。
16,package,/ˈpækɪdʒ/,n. 包裹；套餐 v. 打包,the package will arrive tomorrow. 包裹明天到。
17,be equipped with,/bi ɪˈkwɪpt wɪð/,配备有；装备有,the car is equipped with gps. 这辆车配备了gps。
18,depreciation,/dɪˌpriːʃiˈeɪʃn/,n. 贬值；折旧,the depreciation of the car is fast. 汽车折旧很快。
19,arise from,/əˈraɪz frəm/,由……引起；起因于,many problems arise from poor communication. 很多问题源于沟通不畅。
20,convention,/kənˈvenʃn/,n. 大会；公约；惯例,the international convention was held in geneva. 国际大会在日内瓦举行。
21,composition,/ˌkɒmpəˈzɪʃn/,n. 作文；作曲；组成,her composition won first prize. 她的作文获一等奖。
22,running time,/ˈrʌnɪŋ taɪm/,运行时间；时长,the running time of the movie is 2 hours. 电影时长2小时。
23,entity,/ˈentəti/,n. 实体；独立存在体,the company is a separate legal entity. 该公司是独立法人实体。
24,format,/ˈfɔːmæt/,n. 格式 v. 格式化,please save the file in pdf format. 请保存为pdf格式。
25,repeat,/rɪˈpiːt/,v. 重复；复述,"could you repeat that, please? 请你重复一遍好吗？"
26,sip,/sɪp/,v./n. 抿；小口喝,she sipped her coffee slowly. 她慢慢抿着咖啡。
27,restate,/ˌriːˈsteɪt/,v. 重述；重申,let me restate my opinion. 让我重申我的观点。
28,fortify,/ˈfɔːtɪfaɪ/,v. 加强；增强；巩固,we need to fortify our defenses. 我们需要加强防御。
29,rashly,/ˈræʃli/,adv. 鲁莽地；轻率地,don’t act rashly without thinking. 不要不加思考就鲁莽行事。
30,coordinate,/kəʊˈɔːdɪneɪt/,v. 协调；配合,we must coordinate our efforts. 我们必须协调努力。
31,trouble,/ˈtrʌbl/,n. 麻烦 v. 麻烦；使烦恼,i’m sorry to trouble you. 很抱歉麻烦你。
32,disagree,/ˌdɪsəˈɡriː/,v. 不同意；有分歧,i disagree with your decision. 我不同意你的决定。
33,bald,/bɔːld/,adj. 秃头的；光秃的,he became bald at an early age. 他年纪轻轻就秃顶了。
34,on duty,/ɒn ˈdjuːti/,值班；当班,the nurse is on duty tonight. 护士今晚值班。
35,faculty,/ˈfæklti/,n. 全体教员；能力；院系,the faculty are very experienced. 这些教员经验丰富。
36,shift,/ʃɪft/,v. 转移；改变 n. 轮班；转变,i work the night shift. 我上夜班。
37,actually,/ˈæktʃuəli/,adv. 实际上；事实上,"actually, i don’t like coffee. 事实上我不喜欢咖啡。"
38,select,/sɪˈlekt/,v. 选择 adj. 精选的,please select your language. 请选择语言。
39,margin,/ˈmɑːdʒɪn/,n. 边缘；余地；利润,leave a margin on the paper. 纸上留边距。
40,conclude,/kənˈkluːd/,v. 总结；结束；得出结论,we conclude that he is right. 我们得出结论他是对的。
41,sanction,/ˈsæŋkʃn/,n./v. 制裁；批准,the country faced international sanctions. 该国面临国际制裁。
42,dynamic,/daɪˈnæmɪk/,adj. 动态的；有活力的,she is a dynamic young manager. 她是位有活力的年轻经理。
43,addition,/əˈdɪʃn/,n. 添加；增加物,"in addition, i have one more point. 此外，我还有一点。"
